subject_nr,nonword_repetition,sound_blending,num_reversed,aud_wm
101,8,29,12,29
102,7,25,15,35
103,7,32,11,25
104,7,29,18,35
106,7,25,13,29
107,8,32,18,37
108,10,29,13,32
109,10,25,13,31
110,13,33,16,35
111,9,27,19,32
112,8,29,18,34
113,6,26,18,34
114,7,21,11,35
115,8,22,20,34
116,9,26,11,30
117,9,31,18,38
118,7,26,20,38
119,9,30,15,31
120,10,32,18,33
121,8,29,19,37
122,9,25,15,29
123,8,28,14,34
124,8,28,14,31
125,14,31,15,36
126,9,31,16,30
127,13,29,21,36
128,8,29,19,36
129,9,19,22,35
130,13,20,17,39
131,8,31,14,29
133,15,30,18,40
134,10,28,18,36
136,14,25,24,42
139,16,32,27,40
140,7,24,13,28
141,14,28,13,27
142,5,20,18,24
143,10,28,18,29
144,8,22,15,22
145,9,24,14,32
146,7,25,10,32
147,11,28,18,41
148,9,30,16,27
149,9,30,16,30
150,9,26,14,31
151,7,33,22,42
152,14,33,17,35
153,9,28,15,31
154,7,26,21,37
155,12,30,16,33
156,7,23,12,33
157,10,27,26,37
158,6,24,18,33
